InitialBasket	SecondBasket	TotalFrequency	Support	Confidence	Lift
El Farol	Black Satin	1	0.05	100	19.84
El Farol	Blue Rythm Fantasy	1	0.05	100	19.84
El Farol	Bop Boogie	1	0.05	100	19.84
El Farol	Chão De Estrelas	1	0.05	100	19.84
Ela Disse Adeus	Busca Vida	1	0.05	100	19.84
Elderly Woman Behind The Counter In A Small Town	Alive	1	0.05	100	19.84
Elderly Woman Behind The Counter In A Small Town	Bicycle Race	1	0.05	100	19.84
Elderly Woman Behind The Counter In A Small Town	Bush Doctor	1	0.05	100	19.84
Eleanor Rigby	Comin' Home	1	0.05	100	9.92
Eleanor Rigby	E.C.T.	1	0.05	100	19.84
Electrolite	Binky The Doormat	1	0.05	100	19.84
Electrolite	Bittersweet Me	1	0.05	100	19.84
Email Surveillance	Atomic Punk	1	0.05	100	19.84
Email Surveillance	Camarão que Dorme e Onda Leva	1	0.05	100	19.84
Email Surveillance	Coração Em Desalinho	1	0.05	100	19.84
Email Surveillance	Dirty Water Dog	1	0.05	100	19.84
Email Surveillance	Do It For The Kids	1	0.05	100	19.84
Encontrar Alguém	Always With Me, Always With You	1	0.05	100	19.84
Encontrar Alguém	Cafezinho	1	0.05	100	19.84
Encontrar Alguém	Comin' Home	1	0.05	100	9.92
Encontrar Alguém	Deeper Underground	1	0.05	100	19.84
End Of Romanticism	Crossfire	1	0.05	100	19.84
Endgame	Country Feedback	1	0.05	100	19.84
Enquanto O Dia Não Vem	All My Love	1	0.05	100	19.84
Enquanto O Dia Não Vem	Dance Enquanto é Tempo	1	0.05	100	19.84
Enquanto O Dia Não Vem	Dancing Days	1	0.05	100	19.84
Enquanto O Dia Não Vem	Dazed And Confused	1	0.05	100	9.92
Enter 77	"""?"""	1	0.05	100	19.84
Enter 77	Acrobat	1	0.05	100	19.84
Enter 77	Catch-22	1	0.05	100	19.84
Enter 77	Company Man	1	0.05	100	19.84
Enter 77	Crossroads, Pt. 1	1	0.05	100	19.84
Enter 77	Dancing Barefoot	1	0.05	100	19.84
Entrando Na Sua (Intro)	Dujji	1	0.05	100	19.84
Entre E Ouça	Agora Que O Dia Acordou	1	0.05	100	19.84
Entre E Ouça	Boogie Blues	1	0.05	100	19.84
Entre E Ouça	Bye Bye Blackbird	1	0.05	100	19.84
Entre E Ouça	Deixa	1	0.05	100	19.84
Entre E Ouça	Don't Take Your Love From Me	1	0.05	100	19.84
Equinocio	Are You Gonna Be My Girl	1	0.05	100	19.84
Equinocio	As Dores do Mundo	1	0.05	100	19.84
Equinocio	Destitute Illusions	1	0.05	100	19.84
Era Uma Vez	Domingo	1	0.05	100	19.84
Eruption	Big Machine	2	0.1	100	19.84
Eruption	Dancing In The Street	2	0.1	100	19.84
Esperando Na Janela	Dujji	1	0.05	100	19.84
Esperando Na Janela	Entrando Na Sua (Intro)	1	0.05	100	19.84
Esporrei Na Manivela	As Profecias	1	0.05	100	19.84
Esquinas	A Twist In The Tail	1	0.05	100	19.84
Esquinas	Animal	1	0.05	100	9.92
Esquinas	Açai	1	0.05	100	19.84
Esquinas	Baltimore, DC	1	0.05	100	19.84
Esse Cara	Body Count Anthem	1	0.05	100	19.84
Esse Cara	Bowels Of The Devil	1	0.05	100	19.84
Esse Cara	Cornucopia	1	0.05	100	19.84
Esse Cara	Dandelion	1	0.05	100	19.84
Estranged	Breakdown	1	0.05	100	19.84
Estranged	Colibri	1	0.05	100	19.84
Estrela (Live)	Beira Mar	1	0.05	100	19.84
Estrela (Live)	Come Fly With Me	1	0.05	100	19.84
Estrela (Live)	Disenchanted Lullaby	1	0.05	100	19.84
Etnia	Amor De Muito	1	0.05	100	19.84
Eu Amo Você	Cristina Nº 2	1	0.05	100	19.84
Eu E Ela	A Day In the Life	1	0.05	100	19.84
Eu E Ela	Amanhã Não Se Sabe	1	0.05	100	19.84
Eu E Ela	Distractions	1	0.05	100	19.84
Eu Sou Neguinha (Ao Vivo)	Caçador de Mim (Sá & Guarabyra)	1	0.05	100	19.84
Eu Também Quero Beijar	Advance Romance	1	0.05	100	19.84
Eu Também Quero Beijar	Camisa Verde 2001	1	0.05	100	19.84
Eu Também Quero Beijar	Communication Breakdown	1	0.05	100	9.92
Even Better Than The Real Thing	"""?"""	1	0.05	100	19.84
Even Better Than The Real Thing	Acrobat	1	0.05	100	19.84
Even Better Than The Real Thing	Catch-22	1	0.05	100	19.84
Even Better Than The Real Thing	Company Man	1	0.05	100	19.84
Even Better Than The Real Thing	Crossroads, Pt. 1	1	0.05	100	19.84
Even Better Than The Real Thing	Dancing Barefoot	1	0.05	100	19.84
Even Better Than The Real Thing	Enter 77	1	0.05	100	19.84
Everlasting Love	All Along The Watchtower	1	0.05	100	19.84
Everlasting Love	Born to Run	1	0.05	100	19.84
Everlasting Love	Dave	1	0.05	100	19.84
Everlong	Dujji	1	0.05	100	19.84
Everlong	Entrando Na Sua (Intro)	1	0.05	100	19.84
Everlong	Esperando Na Janela	1	0.05	100	19.84
Every Breath You Take	As Tears Go By	1	0.05	100	19.84
Every Time I Look At You	All My Love	1	0.05	100	19.84
Every Time I Look At You	Dance Enquanto é Tempo	1	0.05	100	19.84
Every Time I Look At You	Dancing Days	1	0.05	100	19.84
Every Time I Look At You	Dazed And Confused	1	0.05	100	9.92
Every Time I Look At You	Enquanto O Dia Não Vem	1	0.05	100	19.84
Everything I Need	A Cura	1	0.05	100	19.84
Everything I Need	A Menina Dança	1	0.05	100	19.84
Everything I Need	Abraham, Martin And John	1	0.05	100	19.84
Everything I Need	Aloha	1	0.05	100	19.84
Everything I Need	Casa	1	0.05	100	19.84
Everything I Need	Cérebro Eletrônico	1	0.05	100	19.84
Everything's Ruined	Caffeine	1	0.05	100	19.84
Evil Dick	Book Of Thel	1	0.05	100	19.84
Evil Walks	Breaking The Rules	1	0.05	100	19.84
Evil Ways	Aeroplane Flies High	1	0.05	100	19.84
Evil Ways	Ava Adore	1	0.05	100	19.84
Evil Ways	Cherub Rock	1	0.05	100	19.84
Evil Woman	Body Count Anthem	1	0.05	100	19.84
Evil Woman	Bowels Of The Devil	1	0.05	100	19.84
Evil Woman	Cornucopia	1	0.05	100	19.84
Evil Woman	Dandelion	1	0.05	100	19.84
Evil Woman	Esse Cara	1	0.05	100	19.84
Exodus (Part 2) [Season Finale]	...And Found	1	0.05	100	19.84
Exodus (Part 2) [Season Finale]	Adrift	1	0.05	100	19.84
Exodus (Part 2) [Season Finale]	City Of Blinding Lights	1	0.05	100	19.84
Exodus, Pt. 1	A Day In the Life	1	0.05	100	19.84
Exodus, Pt. 1	Amanhã Não Se Sabe	1	0.05	100	19.84
Exodus, Pt. 1	Distractions	1	0.05	100	19.84
Exodus, Pt. 1	Eu E Ela	1	0.05	100	19.84
Exodus, Pt. 2	Caras Como Eu	1	0.05	100	19.84
Exploder	Amazing	1	0.05	100	19.84
Exploder	Blood In The Wall	1	0.05	100	19.84
Exploder	Bored To Tears	1	0.05	100	19.84
Exploder	Carol	1	0.05	100	19.84
Exploder	Doesn't Remind Me	1	0.05	100	19.84
Exposé	"""?"""	1	0.05	100	19.84
Exposé	Acrobat	1	0.05	100	19.84
Exposé	Catch-22	1	0.05	100	19.84
Exposé	Company Man	1	0.05	100	19.84
Exposé	Crossroads, Pt. 1	1	0.05	100	19.84
Exposé	Dancing Barefoot	1	0.05	100	19.84
Exposé	Enter 77	1	0.05	100	19.84
Exposé	Even Better Than The Real Thing	1	0.05	100	19.84
Extra	Banditismo Por Uma Questa	1	0.05	100	9.92
Extra	Computadores Fazem Arte	1	0.05	100	19.84
Extra	Criança De Domingo	1	0.05	100	19.84
Extra	Da Lama Ao Caos	1	0.05	100	19.84
Eye	Burden In My Hand	1	0.05	100	19.84
Eye Of The Beholder	A Moça e a Chuva	1	0.05	100	19.84
Eye Of The Beholder	Beijo Partido	1	0.05	100	19.84
Eye Of The Beholder	Blues For Pablo (Alternate Take)	1	0.05	100	19.84
F*Ckin' Up	Arc	1	0.05	100	19.84
F*Ckin' Up	Bohemian Rhapsody	1	0.05	100	19.84
F*Ckin' Up	Brain Damage	1	0.05	100	19.84
F*Ckin' Up	Crystal Ball	1	0.05	100	19.84
Face In The Sand	04 - Running Free	1	0.05	100	19.84
Face In The Sand	2 Minutes To Midnight	1	0.05	100	6.61
Face In The Sand	Another Life	1	0.05	100	19.84
Faixa Amarela	A Benihana Christmas, Pts. 1 & 2	1	0.05	100	19.84
Faixa Amarela	Diversity Day	1	0.05	100	19.84
Falamansa Song	Avisa	1	0.05	100	19.84
Falamansa Song	Burn Away	1	0.05	100	19.84
Falamansa Song	Desaforo	1	0.05	100	19.84
Falando De Amor	A Statistic	1	0.05	100	19.84
Falando De Amor	All For You	1	0.05	100	19.84
Falando De Amor	C'Mon Everybody	1	0.05	100	19.84
Falar A Verdade	Advance Romance	1	0.05	100	19.84
Falar A Verdade	Camisa Verde 2001	1	0.05	100	19.84
Falar A Verdade	Communication Breakdown	1	0.05	100	9.92
Falar A Verdade	Eu Também Quero Beijar	1	0.05	100	19.84
Fall On Me	Can't Get There From Here	1	0.05	100	19.84
Fall On Me	Cuyahoga	1	0.05	100	19.84
Fall To Pieces	A Bencao E Outros	1	0.05	100	19.84
Fall To Pieces	Dreams	1	0.05	100	19.84
Falling To Pieces	Cuckoo For Caca	1	0.05	100	19.84
Fascinação	A Twist In The Tail	1	0.05	100	19.84
Fascinação	Animal	1	0.05	100	9.92
Fascinação	Açai	1	0.05	100	19.84
Fascinação	Baltimore, DC	1	0.05	100	19.84
Fascinação	Esquinas	1	0.05	100	19.84
Fast And Loose	Coração De Estudante	1	0.05	100	19.84
Fates Warning	Bring Your Daughter... ...To The Slaughter	1	0.05	100	19.84
Fear Is The Key	01 - Prowler	1	0.05	100	19.84
Fear Is The Key	Afraid To Shoot Strangers	1	0.05	100	9.92
Fear Is The Key	Back in the Village	1	0.05	100	19.84
Fear Is The Key	Blood Brothers	1	0.05	100	9.92
Fear Is The Key	Drifter	1	0.05	100	9.92
Fear Of The Dark	09 - Iron Maiden	1	0.05	50	9.92
Fear Of The Dark	Afraid To Shoot Strangers	1	0.05	50	4.96
Fear Of The Dark	Bring Your Daughter... To The Slaughter	1	0.05	50	9.92
Fear Of The Dark	Como Estais Amigos	1	0.05	50	9.92
Fear Of The Dark	Dance Of Death	1	0.05	50	9.92
Fear Of The Dark	Die With Your Boots On	1	0.05	50	9.92
Fear Of The Dark	Dream Of Mirrors	1	0.05	50	4.96
Feel It	Fairies Wear Boots	1	0.05	100	19.84
Feel Your Love Tonight	Big Machine	1	0.05	100	19.84
Feel Your Love Tonight	Dancing In The Street	1	0.05	100	19.84
Feel Your Love Tonight	Eruption	2	0.1	200	19.84
Feirinha da Pavuna/Luz do Repente/Bagaço da Laranja	A Bencao E Outros	1	0.05	100	19.84
Feirinha da Pavuna/Luz do Repente/Bagaço da Laranja	Dreams	1	0.05	100	19.84
Feirinha da Pavuna/Luz do Repente/Bagaço da Laranja	Fall To Pieces	1	0.05	100	19.84
Felicidade Urgente	Advance Romance	1	0.05	100	19.84
Felicidade Urgente	Camisa Verde 2001	1	0.05	100	19.84
Felicidade Urgente	Communication Breakdown	1	0.05	100	9.92
Felicidade Urgente	Eu Também Quero Beijar	1	0.05	100	19.84
Felicidade Urgente	Falar A Verdade	1	0.05	100	19.84
Fica	Anthem	1	0.05	100	19.84
Filho Maravilha	All My Love	1	0.05	100	19.84
Filho Maravilha	Dance Enquanto é Tempo	1	0.05	100	19.84
Filho Maravilha	Dancing Days	1	0.05	100	19.84
Filho Maravilha	Dazed And Confused	1	0.05	100	9.92
Filho Maravilha	Enquanto O Dia Não Vem	1	0.05	100	19.84
Filho Maravilha	Every Time I Look At You	1	0.05	100	19.84
Finding My Way	Aeroplane Flies High	1	0.05	100	19.84
Finding My Way	Ava Adore	1	0.05	100	19.84
Finding My Way	Cherub Rock	1	0.05	100	19.84
Finding My Way	Evil Ways	1	0.05	100	19.84
Fire	Charles Anjo 45	1	0.05	100	19.84
Fire + Water	All Along The Watchtower	1	0.05	100	19.84
Fire + Water	Born to Run	1	0.05	100	19.84
Fire + Water	Dave	1	0.05	100	19.84
Fire + Water	Everlasting Love	1	0.05	100	19.84
Firmamento	A Cor Do Sol	2	0.1	100	19.84
Flash of The Blade	Brave New World	1	0.05	100	19.84
Flight Of The Rat	Comin' Home	1	0.05	100	9.92
Flight Of The Rat	E.C.T.	1	0.05	100	19.84
Flight Of The Rat	Eleanor Rigby	1	0.05	100	19.84
Flores	Balanço	1	0.05	100	19.84
Flores	Cabeça Dinossauro	1	0.05	100	19.84
Flores	Comida	1	0.05	100	19.84
Flower	Burden In My Hand	1	0.05	100	19.84
Flower	Eye	1	0.05	100	19.84
Fly By Night	Around The World	1	0.05	100	19.84
Fly By Night	Drown	1	0.05	100	19.84
Fly Me To The Moon	A Novidade (Live)	1	0.05	100	19.84
Fly Me To The Moon	Aquele Abraço	1	0.05	100	19.84
Flying High Again	Cinema Mudo	1	0.05	50	9.92
Flying High Again	Crazy Train	1	0.05	50	9.92
Folhas Secas	Been A Son	1	0.05	100	19.84
Folhas Secas	Breed	1	0.05	100	19.84
Folhas Secas	Denúncia	1	0.05	100	19.84
For Whom The Bell Tolls	All Within My Hands	1	0.05	100	19.84
For Whom The Bell Tolls	Attitude	1	0.05	100	19.84
For Whom The Bell Tolls	Creeping Death	1	0.05	100	19.84
For Your Babies	Around The World	1	0.05	100	19.84
For Your Babies	Drown	1	0.05	100	19.84
For Your Babies	Fly By Night	1	0.05	100	19.84
For Your Life	Boogie With Stu	1	0.05	100	19.84
For Your Life	Bron-Y-Aur Stomp	1	0.05	100	19.84
For Your Life	Down By The Seaside	1	0.05	100	19.84
For the Greater Good of God	Blood Brothers	1	0.05	100	9.92
For the Greater Good of God	Can I Play With Madness	1	0.05	100	9.92
Fora Da Ordem	Black Satin	1	0.05	100	19.84
Fora Da Ordem	Blue Rythm Fantasy	1	0.05	100	19.84
Fora Da Ordem	Bop Boogie	1	0.05	100	19.84
Fora Da Ordem	Chão De Estrelas	1	0.05	100	19.84
Fora Da Ordem	El Farol	1	0.05	100	19.84
Forgiven	Blind Man	1	0.05	100	19.84
Formigueiro	Caras Como Eu	1	0.05	100	19.84
Formigueiro	Exodus, Pt. 2	1	0.05	100	19.84
Fortunate Son	Commotion	1	0.05	100	19.84
Fortunes Of War	2 A.M.	1	0.05	100	19.84
Fortunes Of War	Blood On The World's Hands	1	0.05	100	19.84
Fortuneteller	A Twist In The Tail	1	0.05	100	19.84
Fortuneteller	Animal	1	0.05	100	9.92
Fortuneteller	Açai	1	0.05	100	19.84
Fortuneteller	Baltimore, DC	1	0.05	100	19.84
Fortuneteller	Esquinas	1	0.05	100	19.84
Fortuneteller	Fascinação	1	0.05	100	19.84
Forty Days Instrumental	A Novidade (Live)	1	0.05	100	19.84
Forty Days Instrumental	Aquele Abraço	1	0.05	100	19.84
Forty Days Instrumental	Fly Me To The Moon	1	0.05	100	19.84
Four Walled World	Armadura	1	0.05	100	19.84
Four Walled World	Billie Jean	1	0.05	100	19.84
Four Walled World	Commercial 2	1	0.05	100	19.84
Four Walled World	Die Walküre: The Ride of the Valkyries	1	0.05	100	19.84
Frantic	...And Justice For All	1	0.05	100	19.84
Free Me	Epic	1	0.05	100	19.84
Freewill	Around The World	1	0.05	100	19.84
Freewill	Drown	1	0.05	100	19.84
Freewill	Fly By Night	1	0.05	100	19.84
Freewill	For Your Babies	1	0.05	100	19.84
Friend Of A Friend	Dujji	1	0.05	100	19.84
Friend Of A Friend	Entrando Na Sua (Intro)	1	0.05	100	19.84
Friend Of A Friend	Esperando Na Janela	1	0.05	100	19.84
Friend Of A Friend	Everlong	1	0.05	100	19.84
Friends	Dazed and Confused	1	0.05	100	9.92
From Here To Eternity	05 - Phantom of the Opera	1	0.05	100	19.84
From Here To Eternity	Aces High	1	0.05	100	19.84
From Here To Eternity	Age Of Innocence	1	0.05	100	19.84
From Here To Eternity	Chains Of Misery	1	0.05	100	19.84
From Out Of Nowhere	A Small Victory	1	0.05	100	19.84
From Out Of Nowhere	Easy	1	0.05	100	19.84
Fuel	Battery	1	0.05	100	19.84
Fuel	Better Than You	1	0.05	100	19.84
Fuel	Disposable Heroes	1	0.05	100	19.84
Funk Hum	A Novidade (Live)	1	0.05	100	19.84
Funk Hum	Aquele Abraço	1	0.05	100	19.84
Funk Hum	Fly Me To The Moon	1	0.05	100	19.84
Funk Hum	Forty Days Instrumental	1	0.05	100	19.84
Funk de Bamba	Chapa o Coco	1	0.05	100	19.84
Funk de Bamba	Danny Boy, Danny Boy	1	0.05	100	19.84
Funky Piano	Ali	1	0.05	100	19.84
Funky Piano	Bullet With Butterfly Wings	1	0.05	100	19.84
Funky Piano	Californication	1	0.05	100	19.84
Funky Piano	Closer To The Heart	1	0.05	100	19.84
Futureal	Children of the Damned	1	0.05	100	19.84
Gangland	De Ja Vu	1	0.05	100	19.84
Garden of Eden	Back off Bitch	1	0.05	100	19.84
Garden of Eden	Coma	1	0.05	100	19.84
Garden of Eden	Don't Cry (Original)	1	0.05	100	19.84
Garota Nacional	Aeroplane Flies High	1	0.05	100	19.84
Garota Nacional	Ava Adore	1	0.05	100	19.84
Garota Nacional	Cherub Rock	1	0.05	100	19.84
Garota Nacional	Evil Ways	1	0.05	100	19.84
Garota Nacional	Finding My Way	1	0.05	100	19.84
Gatas Extraordinárias	Comin' Home	1	0.05	100	9.92
Gatas Extraordinárias	E.C.T.	1	0.05	100	19.84
Gatas Extraordinárias	Eleanor Rigby	1	0.05	100	19.84
Gatas Extraordinárias	Flight Of The Rat	1	0.05	100	19.84
Gates Of Tomorrow	Blood Brothers	1	0.05	100	9.92
Gates Of Tomorrow	Can I Play With Madness	1	0.05	100	9.92
Gates Of Tomorrow	For the Greater Good of God	1	0.05	100	19.84
Gavioes 2001	Amor Demais	1	0.05	100	19.84
Gay Witch Hunt	A Benihana Christmas, Pts. 1 & 2	1	0.05	100	19.84
Gay Witch Hunt	Diversity Day	1	0.05	100	19.84
Gay Witch Hunt	Faixa Amarela	1	0.05	100	19.84
Geek Stink Breath	Basket Case	1	0.05	100	19.84
Genesis	A Day In the Life	1	0.05	100	19.84
Genesis	Amanhã Não Se Sabe	1	0.05	100	19.84
Genesis	Distractions	1	0.05	100	19.84
Genesis	Eu E Ela	1	0.05	100	19.84
Genesis	Exodus, Pt. 1	1	0.05	100	19.84
Genghis Khan	05 - Phantom of the Opera	1	0.05	100	19.84
Genghis Khan	Aces High	1	0.05	100	19.84
Genghis Khan	Age Of Innocence	1	0.05	100	19.84
Genghis Khan	Chains Of Misery	1	0.05	100	19.84
Genghis Khan	From Here To Eternity	1	0.05	100	19.84
Geni E O Zepelim	Construção / Deus Lhe Pague	1	0.05	100	19.84
Get Down, Make Love	Animal	1	0.05	100	9.92
Get Down, Make Love	Be Mine	1	0.05	100	19.84
Get Down, Make Love	Bossa	1	0.05	100	19.84
Get Off Of My Cloud	Anyway, Anyhow, Anywhere	1	0.05	100	19.84
Get Off Of My Cloud	Can't Stand Losing You	1	0.05	100	19.84
Get On Top	Anthem	1	0.05	100	19.84
Get On Top	Fica	1	0.05	100	19.84
Get Out	After Midnight	1	0.05	100	19.84
Get Out	Be Aggressive	1	0.05	100	19.84
Get Right	Alive	1	0.05	100	19.84
Get Right	Bicycle Race	1	0.05	100	19.84
Get Right	Bush Doctor	1	0.05	100	19.84
Get Right	Elderly Woman Behind The Counter In A Small Town	1	0.05	100	19.84
Get Up	Animal	1	0.05	100	9.92
Get Up	Be Mine	1	0.05	100	19.84
Get Up	Bossa	1	0.05	100	19.84
Get Up	Get Down, Make Love	1	0.05	100	19.84
Get Up (I Feel Like Being A) Sex Machine	Blow Your Mind	1	0.05	100	19.84
Get Up Offa That Thing	Don't Look To The Eyes Of A Stranger	1	0.05	100	19.84
Get What You Need	Black Capricorn Day	1	0.05	100	19.84
Get What You Need	Can You See Me	1	0.05	100	19.84
Ghost	Arc	1	0.05	100	19.84
Ghost	Bohemian Rhapsody	1	0.05	100	19.84
Ghost	Brain Damage	1	0.05	100	19.84
Ghost	Crystal Ball	1	0.05	100	19.84
Ghost	F*Ckin' Up	1	0.05	100	19.84
Ghost Of The Navigator	05 - Phantom of the Opera	1	0.05	50	9.92
Ghost Of The Navigator	Aces High	1	0.05	50	9.92
Ghost Of The Navigator	Age Of Innocence	1	0.05	50	9.92
Ghost Of The Navigator	Chains Of Misery	1	0.05	50	9.92
Ghost Of The Navigator	From Here To Eternity	1	0.05	50	9.92
Ghost Of The Navigator	Genghis Khan	1	0.05	50	9.92
Gimme Some Truth	#9 Dream	1	0.05	50	9.92
Gimme Some Truth	Beautiful Boy	1	0.05	50	9.92
Gimmie Shelters	Anyway, Anyhow, Anywhere	1	0.05	100	19.84
Gimmie Shelters	Can't Stand Losing You	1	0.05	100	19.84
Gimmie Shelters	Get Off Of My Cloud	1	0.05	100	19.84
Girl From A Pawnshop	Black Light Syndrome	1	0.05	100	19.84
Give Me Novacaine	Extraordinary Girl	1	0.05	100	19.84
Give Peace a Chance	#9 Dream	1	0.05	100	19.84
Give Peace a Chance	Gimme Some Truth	1	0.05	100	9.92
Given To Fly	Alive	1	0.05	100	19.84
Given To Fly	Bicycle Race	1	0.05	100	19.84
Given To Fly	Bush Doctor	1	0.05	100	19.84
Given To Fly	Elderly Woman Behind The Counter In A Small Town	1	0.05	100	19.84
Given To Fly	Get Right	1	0.05	100	19.84
Giz	Assim Caminha A Humanidade	1	0.05	100	19.84
Giz	Celebration Day	1	0.05	100	9.92
Giz	Childhoods End?	1	0.05	100	19.84
Go	Alive	1	0.05	100	19.84
Go	Bicycle Race	1	0.05	100	19.84
Go	Bush Doctor	1	0.05	100	19.84
Go	Elderly Woman Behind The Counter In A Small Town	1	0.05	100	19.84
Go	Get Right	1	0.05	100	19.84
Go	Given To Fly	1	0.05	100	19.84
Go Down	Fast As a Shark	1	0.05	100	19.84
God Gave Rock 'n' Roll To You	Best Thing	1	0.05	100	19.84
God Gave Rock 'n' Roll To You	Black Diamond	1	0.05	100	19.84
God Of Thunder	All Star	1	0.05	100	19.84
God Of Thunder	Bumbo Da Mangueira	1	0.05	100	19.84
God Of Thunder	Dazed and Confused	1	0.05	100	9.92
God Of Thunder	Die Die My Darling	1	0.05	100	19.84
God Part II	All Along The Watchtower	1	0.05	100	19.84
God Part II	Born to Run	1	0.05	100	19.84
God Part II	Dave	1	0.05	100	19.84
God Part II	Everlasting Love	1	0.05	100	19.84
God Part II	Fire + Water	1	0.05	100	19.84
Goin' Blind	Beth	1	0.05	100	19.84
Going Down / Highway Star	Agora Que O Dia Acordou	1	0.05	100	19.84
Going Down / Highway Star	Boogie Blues	1	0.05	100	19.84
Going Down / Highway Star	Bye Bye Blackbird	1	0.05	100	19.84
Going Down / Highway Star	Deixa	1	0.05	100	19.84
Going Down / Highway Star	Don't Take Your Love From Me	1	0.05	100	19.84
Going Down / Highway Star	Entre E Ouça	1	0.05	100	19.84
Gone	Arc	1	0.05	100	19.84
Gone	Bohemian Rhapsody	1	0.05	100	19.84
Gone	Brain Damage	1	0.05	100	19.84
Gone	Crystal Ball	1	0.05	100	19.84
Gone	F*Ckin' Up	1	0.05	100	19.84
Gone	Ghost	1	0.05	100	19.84
Good Golly Miss Molly	A.N.D.R.O.T.A.Z.	1	0.05	50	9.92
Good Golly Miss Molly	Canta, Canta Mais	1	0.05	50	9.92
Good Golly Miss Molly	Chemical Wedding	1	0.05	50	9.92
Good Golly Miss Molly	Cochise	1	0.05	50	9.92
Good Golly Miss Molly	Do what cha wanna	1	0.05	50	9.92
Good Golly Miss Molly	Drown Me Slowly	1	0.05	50	9.92
Gostava Tanto De Você	A Festa Do Santo Reis	1	0.05	100	19.84
Got That Feeling	After Midnight	1	0.05	100	19.84
Got That Feeling	Be Aggressive	1	0.05	100	19.84
Got That Feeling	Get Out	1	0.05	100	19.84
Gota D'água	Com Açúcar E Com Afeto	1	0.05	100	19.84
Green Disease	Animal	1	0.05	100	9.92
Green Disease	Be Mine	1	0.05	100	19.84
Green Disease	Bossa	1	0.05	100	19.84
Green Disease	Get Down, Make Love	1	0.05	100	19.84
Green Disease	Get Up	1	0.05	100	19.84
Green Grow The Rushes	Country Feedback	1	0.05	100	19.84
Green Grow The Rushes	Endgame	1	0.05	100	19.84
Green River	As Rosas Não Falam (Beth Carvalho)	1	0.05	100	19.84
Green River	Como É Duro Trabalhar	1	0.05	100	19.84
Green River	Compulsion	1	0.05	100	19.84
Green River	Drum Boogie	1	0.05	100	19.84
Greetings from Earth, Pt. 1	God	1	0.05	100	19.84
Greetings from Earth, Pt. 2	Cold Turkey	1	0.05	100	19.84
Grito De Alerta	Cry For Love	1	0.05	100	19.84
Groovus Interruptus	Acelerou	1	0.05	100	9.92
Groovus Interruptus	Action	1	0.05	100	19.84
Groovus Interruptus	Azul	1	0.05	100	19.84
Groovus Interruptus	Black Night	1	0.05	100	19.84
Groovus Interruptus	Cascades : I'm Not Your Lover	1	0.05	100	19.84
Groovus Interruptus	Cigano	1	0.05	100	19.84
Groovus Interruptus	Dois Pra Lá, Dois Pra Cá	1	0.05	100	19.84
Guess Who's Back	Fairies Wear Boots	1	0.05	100	19.84
Guess Who's Back	Feel It	1	0.05	100	19.84
Gyroscope	Anyway, Anyhow, Anywhere	1	0.05	100	19.84
Gyroscope	Can't Stand Losing You	1	0.05	100	19.84
Gyroscope	Get Off Of My Cloud	1	0.05	100	19.84
Gyroscope	Gimmie Shelters	1	0.05	100	19.84
Hairshirt	A Sua	1	0.05	100	19.84
Hairshirt	Bê-a-Bá	1	0.05	100	19.84
Hairshirt	Don't Go Back To Rockville	1	0.05	100	19.84
Hallelujah Here She Comes	...And Found	1	0.05	100	19.84
Hallelujah Here She Comes	Adrift	1	0.05	100	19.84
